	home_id	scores_cleanliness	scores_location	review_id	comments
1088	5062445	8.0	10.0	32440775	"Chris is very friendly and helpful! I was looking for a place to stay and needed a response soon. Contacted four hosts, and Chris was the only one responded, and responded in time! He apologized for not being able to show me around because his band had a major show during that weekend. (Guys- they do have a GREAT taste in music- come here if you do, too)

The house is in a great neighborhood. You have Trader Joe's right across the street, literally. AND lots of fantastic restaurants, cafe, gift stores, etc. surrounded. This would be the perfect neighborhood to live in. All the things- within walking distance.

You'll be sharing a bathroom with other roommates (but that wasn't a problem for me at all). If you're looking for a place to crash that's within walking distance to everything, this is perfect for you.

I'm very happy with my stay, and hope other guests enjoy the location as well. :)"
1089	5062445	8.0	10.0	34162323	"Chris' place was the perfect homebase in Seattle! Big Friendly house,cosy bedroom in a lively and vibrant neighborhood full of cafes and bars, amazing to chill out in the morning before walking downtown in just over half hour. Chris was also a very sweet host, he came to see me when I arrived to Seattle, gave me the keys and directed me to his house because he was working at that time. 
During my stay I was out all day but we had a few good chat at night. He's really a good fellow! Great music taste and very easy to get along with.
I promised my self to be back in Seattle again and I'll definitely stay at his again!"
1090	5062445	8.0	10.0	35270046	Great location.  Good food nearby and easy bus access.  DEFINITELY give this place a chance.  Chris is super accommodating and if your schedules align is great hang as well.
1091	5062445	8.0	10.0	42254182	Christ is such a nice guy. He gave me a very warm welcome on my first day in Seattle. Introduced the neighborhood and told me a lot of staff about his music. The place is lovely and so quiet at night. I had a memorable stay because of this cute home. And the location is wonderful. Very close to downtown. Just few minutes away. I would definitely recommend Christ's place!
1092	5062445	8.0	10.0	45416946	"Chris is awesome!  Very friendly and welcoming.  Really dig the house and the neighborhood.  

Great location, loved the vibe of the neighborhood and having Trader Joe's and El Diablo Coffee right there.  "
1093	5062445	8.0	10.0	46167437	Chris and his roommates were great hosts! They were very friendly, accommodating, and fun. I traveled to Seattle alone and they made it so I did not feel lonely. The house is located very conveniently to downtown, I did not have a car while I was in Seattle and managed to get around just fine via public transit (and the occasional Uber). I definitely recommend staying at Chris's if you are looking for an affordable and convenient location in Seattle!   
1094	5062445	8.0	10.0	56024264	The host canceled this reservation 10 days before arrival. This is an automated posting.
1851	4258515	8.0	9.0	33145799	"It is indeed in the middle of everything! Located in the lovely Ballard neighborhood, Lauren's B&B is only a 10 minute drive from popular downtown locations including the Space Needle, is next to a 7-11 convenience store for quick restock, and is within walking distance of awesome Ballard shops. Lauren and Gabriel are also super friendly too! 

Highly recommended especially if you are planning to explore Seattle with a car"
1852	4258515	8.0	9.0	33215369	The host canceled this reservation 23 days before arrival. This is an automated posting.
1853	4258515	8.0	9.0	33469231	The host canceled this reservation 2 days before arrival. This is an automated posting.
1854	4258515	8.0	9.0	34231248	"Lauren, Gabe, and their children were great hosts during our stay in Seattle. I had previously used an airbnb location in Magnolia which I loved, but it was booked this time around so I hoped Lauren and Gabe's place in Ballard would be as wonderful and it did not disappoint.

Extremely safe neighborhood, extremely close to many big bus lines including 2 direct lines to downtown, and there is even a downtown area a few blocks down from the apartment with major nightlife of its own. 

I didn't spend much time in the apartment during the day but it was a quiet place to sleep which looked exactly like the pictures and I slept more soundly than I ever do at home.

Thank you Lauren and family! :)"
1855	4258515	8.0	9.0	34615698	I appreciate Lauren accommodating us (party of 4) in such short notice. Lauren is pleasant, hospitable, flexible, and unobtrusive. Her home is located in the heart of Ballard near area amenities and attractions. The rooftop deck offers a relaxing oasis above the city streets. Overall, a prime spot with a fantastic host.
1856	4258515	8.0	9.0	36162911	The host canceled this reservation 22 days before arrival. This is an automated posting.
1857	4258515	8.0	9.0	36700705	"Lauren and her family were the perfect hosts! Their place in Ballard is comfy, clean and modern and her family were very welcoming and very lovely! 

The location is fantastic, close to so many bars and restaurants, perfectly safe and minutes away from the downtown bus. 

We couldn't have asked for a better place to stay in Seattle! "
1858	4258515	8.0	9.0	37209196	Good
1859	4258515	8.0	9.0	37707338	Lauren was very kind and accommodating. My friends and I loved the neighbourhood! 
1860	4258515	8.0	9.0	38134616	This is the worst experience with Airbnb, we shared a two bedrooms with Lauren's faimillies with 3 kids and a dog, they go out of their bedroom then we are out of the apartment and go back to the bedroom when we come back, which makes us feel not friendly and uneasy, well we still smell the unpleasant smell of the dog. They didn't wash their dishes and damp the gabage bin  in time as well in the kitchen. The most unfriendly thing is that we can not even leave our heavy bags at her home after 11:00 in the morning of the day we leave back home, which she has mentioned when I check in and let us feel very not friendly, and that is not imaginalble that we hadn't access to the WIFI in such a modern day! I will never come back and live in any Airbnb apartments!
1861	4258515	8.0	9.0	39073563	"La habitación estaba muy limpia y tranquilo. La ubicación es perfecta. Algo fuera del centro de  Seattle, pero uno llega muy rápido y fácil con el transporte al centro. Y en la tarde se puede disfrutar la tranquilidad de Ballard.  

Muy recomendable."
1862	4258515	8.0	9.0	39660914	Lauren's kids are adorable and the free parking was great and it was also great to be able to walk to old Ballard neighborhood and all the seaside parts on Puget Sound. What a fun city!
1863	4258515	8.0	9.0	39950203	Lauren was very kind during our stay. The room is clean and the location is close to lots of fun restaurants and shops in the Ballard area. 
1864	4258515	8.0	9.0	40460705	Lauren and her husband were very welcoming and helpful! I was admittedly a little wary as this was our first time using Airbnb but everything went smoothly. We had 4 adults packed into the room so it was a little tight but we made due. The 3 kids were all very well behaved and quiet.
1865	4258515	8.0	9.0	40858427	Lauren and Gabe's place was in a great location. It was safe and secure and both of them were very kind and friendly. Having a parking space available was a huge bonus!
1866	4258515	8.0	9.0	40974304	Thank Gabe and Lauren for waiting us until midnight. The apartment is very nice. The room was very clean. It was a nice experience!
1867	4258515	8.0	9.0	41630323	Overall, we had a great experience! We were only looking for a place to sleep for a cheap price in a clean place - this is exactly what we found! The place is right next to a RapidRide bus stop, which was perfect for getting downtown. There were a ton of shops, cafes, and restaurants a walk down the street. Lauren and her family were very sweet and helpful. They pretty much just let us do our own thing and gave us plenty of privacy, which was fine! Our room was clean and quaint. The fans in the room kept it at the perfect temperature. The only thing that was kind of a hassle was when my friend went back to the condo during the day to use the restroom and the dogs were in there. He didn't want to mess with them, so he had to go somewhere else - but obviously this is not a big deal, just something to communicate! Like I said, we had a great experience!
1868	4258515	8.0	9.0	41939678	Lauren and her family went out of their way to make our experience comfortable and convenient. The space was small, but nice. Thank you!
