	home_id	scores_cleanliness	scores_location	review_id	comments
1444	8515408	10.0	10.0	50568620	Jennifer was a fantastic host and resource to all things Queen Anne/Seattle.  The neighborhood is VERY walkable and public transportation is accessible. The living space was extremely comfortable and well appointed.  I would highly recommend this apartment!
1445	8515408	10.0	10.0	51502448	Jennifer was very accommodating and the studio was in a great location and neighbourhood. Studio was everything as described and felt very homely. Just what I needed after staying in so many hotels!  Walking distance to Kerry Park, restaurants, shops and bus lines. I've also walked as far as downtown from the studio. Overall, perfect experience and would stay here again!
1446	8515408	10.0	10.0	58074973	Jen made us feel very welcome and was very easy to contact for any information we needed. Parking was included and the studio apartment had everything we needed. Its location was ideal and within easy walking distance to the commercial district of Queen Anne.
1447	5383192	10.0	10.0	36515902	Christine made us feel very welcome. The neighborhood, house and yard were lovely. 
1959	7077910	9.0	10.0	41978601	"The place was very large, neighborhood was quiet and convenient. Clean and wonderful place. Dina was extremely helpful when we needed help. 

Awesome place. Went for TI5. Would definitely stay there again. She gave us directions and was communications in answering us was too notch."
1960	7077910	9.0	10.0	42911648	"Dina was an incredible host! She goes above and beyond for her guests and has a wickedly quick response rate for questions. 

The house was so charming and spread out with more than enough room for 6 people. There is a really nice energy in the house as well! The neighborhood is great and very easy to get around. I definitely recommend it. "
1961	7077910	9.0	10.0	43707599	It was simple to get in and settle down in this cute townhouse. Dina was communicative and accommodating!
1962	7077910	9.0	10.0	46994971	Dina was great. After a last minute cancelation of another airbnb, she was able to accommodate us in her home on short notice. The place is great, along with the location. Coffee shops, the locks, restaurants all within walking distance. She was also very easy to talk to and quick to respond to my questions.
1963	7077910	9.0	10.0	48745073	Dina was a wonderful host. We were in Seattle for a golf trip and she gave us excellent recommendations for golf, places to eat in Ballard, etc. The location is fantastic near the locks (a must-see) and restaurants. 
1964	7077910	9.0	10.0	49899675	The house was in perfect condition when we arrived, and the host provided the information about the home in an e-mail and in person.  There were many goodies in the fridge.  We loved the location because it was convenient to my son, and we could walk to the Locks and the downtown area of Ballard.  The neighborhood was wonderful.
