	home_id	last_scraped	price	number_of_reviews	scores_overall	scores_accuracy	scores_cleanliness	scores_checkin	scores_communication	scores_location	scores_value	reviews_per_month
0	241032	2016-01-04	85	207	95.0	10.0	10.0	10.0	10.0	9.0	10.0	4.07
1	953595	2016-01-04	150	43	96.0	10.0	10.0	10.0	10.0	10.0	10.0	1.48
2	3308979	2016-01-04	975	20	97.0	10.0	10.0	10.0	10.0	10.0	10.0	1.15
4	278830	2016-01-04	450	38	92.0	9.0	9.0	10.0	10.0	9.0	9.0	0.89
5	5956968	2016-01-04	120	17	95.0	10.0	10.0	10.0	10.0	10.0	10.0	2.45
6	1909058	2016-01-04	80	58	99.0	10.0	10.0	10.0	10.0	10.0	10.0	2.46
7	856550	2016-01-04	60	173	97.0	10.0	10.0	10.0	10.0	9.0	10.0	4.73
8	4948745	2016-01-04	90	8	97.0	10.0	9.0	10.0	9.0	10.0	10.0	1.22
9	2493658	2016-01-04	150	32	97.0	10.0	10.0	10.0	10.0	10.0	9.0	1.55
10	175576	2016-01-04	95	181	97.0	10.0	10.0	10.0	10.0	10.0	10.0	3.33
11	4454295	2016-01-04	99	8	97.0	10.0	10.0	9.0	10.0	10.0	9.0	0.98
12	3883392	2016-01-04	245	13	98.0	10.0	10.0	10.0	10.0	10.0	10.0	0.92
13	8889257	2016-01-04	165	3	100.0	10.0	10.0	9.0	9.0	10.0	10.0	3.0
14	5680462	2016-01-04	461	18	98.0	9.0	10.0	10.0	10.0	10.0	10.0	2.65
15	8988178	2016-01-04	109	1	80.0	8.0	10.0	8.0	8.0	8.0	8.0	0.73
16	3245876	2016-01-04	66	84	95.0	10.0	9.0	10.0	10.0	10.0	9.0	4.55
17	4933447	2016-01-04	99	45	98.0	10.0	10.0	10.0	10.0	10.0	10.0	4.58
19	6291829	2016-01-04	700	5	85.0	10.0	9.0	9.0	9.0	8.0	8.0	0.82
20	9218403	2016-01-04	110	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.0
21	4125779	2016-01-04	99	11	84.0	9.0	9.0	9.0	9.0	10.0	8.0	0.71
22	8942678	2016-01-04	450	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.86
24	6362362	2016-01-04	600	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.18
25	3544550	2016-01-04	450	8	100.0	10.0	10.0	9.0	10.0	10.0	10.0	1.3
27	3200646	2016-01-04	45	80	95.0	10.0	10.0	10.0	10.0	9.0	9.0	4.38
28	8859380	2016-01-04	300	6	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.47
29	4520099	2016-01-04	80	4	85.0	8.0	9.0	7.0	10.0	9.0	9.0	0.33
30	2481869	2016-01-04	175	38	96.0	10.0	10.0	10.0	10.0	10.0	10.0	1.86
31	1110749	2016-01-04	325	68	92.0	9.0	9.0	10.0	9.0	10.0	9.0	2.18
32	5978498	2016-01-04	175	8	88.0	9.0	9.0	9.0	9.0	10.0	9.0	1.31
33	5021081	2016-01-04	222	5	75.0	8.0	9.0	8.0	9.0	9.0	8.0	0.99
