home_id	num_of_sents_0.6	num_very_neg_0.6	num_neg_0.6	num_neut_0.6	num_pos_0.6	num_very_pos_0.6	num_sents
117165	20	0	2	0	11	7	584
182716	16	0	1	0	12	3	346
215882	56	0	7	1	41	7	964
320704	29	0	7	1	20	1	447
394408	9	0	0	3	6	0	207
555182	2	0	0	0	1	1	76
825574	18	0	4	0	12	2	238
1159226	6	0	0	0	3	3	72
1198799	10	0	1	1	5	3	93
1851863	20	0	3	2	14	1	171
2373176	30	0	7	1	20	2	365
2489283	0	0	0	0	0	0	35
2692126	38	0	9	3	22	4	390
2721575	32	0	5	0	22	5	478
2723368	12	1	3	0	6	2	185
2727984	0	0	0	0	0	0	3
2822984	5	0	0	1	4	0	89
3076065	8	0	1	0	6	1	79
3231850	36	0	6	0	20	10	541
3258213	14	0	5	0	6	3	282
3544964	18	0	3	0	14	1	180
3652434	20	0	1	0	18	1	484
3673759	30	0	5	1	19	5	296
3882930	2	0	0	0	2	0	84
3979496	8	0	2	1	4	1	154
3986788	4	0	3	1	0	0	43
4238106	2	0	1	0	0	1	55
4240933	1	0	0	0	1	0	16
4449303	21	0	3	1	14	3	231
4520179	6	0	1	0	4	1	78
4565370	9	0	1	1	6	1	155
4616695	18	0	2	1	15	0	112
4776823	31	0	12	2	16	1	428
4811583	2	0	0	0	2	0	16
4872699	0	0	0	0	0	0	2
4922836	18	0	2	3	13	0	142
4947002	6	0	1	0	4	1	62
5031357	0	0	0	0	0	0	6
5218550	19	0	2	1	15	1	338
5236979	8	0	1	1	5	1	192
5252877	6	0	4	1	1	0	73
5625964	15	0	3	0	11	1	169
5651254	0	0	0	0	0	0	20
5805907	3	0	1	0	2	0	120
5959816	12	0	1	0	8	3	121
6228474	1	0	0	0	1	0	41
6274351	3	0	0	0	1	2	33
6577729	8	0	2	0	6	0	91
6629132	2	0	0	1	1	0	58
6657574	5	0	2	0	1	2	78
6675927	20	0	1	2	15	2	229
6773472	9	0	1	2	5	1	52
6821407	33	0	4	4	23	2	190
7070169	8	0	1	0	6	1	154
7198282	7	0	1	2	4	0	64
7247720	8	0	2	0	6	0	117
7455068	3	0	1	0	2	0	71
7550234	10	0	1	2	7	0	81
7635966	0	0	0	0	0	0	3
7678814	2	0	0	0	2	0	10
7699356	0	0	0	0	0	0	13
7763298	12	0	5	0	4	3	88
7902330	15	0	4	2	7	2	101
7956337	1	0	0	0	1	0	16
8086294	0	0	0	0	0	0	10
8147986	2	0	1	0	1	0	47
8308316	3	0	0	0	3	0	35
8453633	1	0	0	0	1	0	6
8608233	0	0	0	0	0	0	7
8919372	5	0	2	0	3	0	25
9015088	1	0	0	0	1	0	24
9318524	1	0	0	0	1	0	5
9374358	3	0	0	0	3	0	39
9727857	0	0	0	0	0	0	4
9957555	1	0	0	0	1	0	19
