home_id	num_of_sents_0.6	num_very_neg_0.6	num_neg_0.6	num_neut_0.6	num_pos_0.6	num_very_pos_0.6	num_sents
9596	31	0	8	2	19	2	173
20928	45	0	10	1	28	6	212
254340	76	1	23	7	39	6	462
387078	58	0	13	8	30	7	271
557126	175	2	43	14	101	15	917
934123	11	0	1	1	9	0	34
935432	6	0	1	1	4	0	34
1030411	6	0	1	0	5	0	21
1167507	98	0	37	9	42	10	396
1483944	35	0	9	5	18	3	268
1790020	175	1	41	16	96	21	870
1978743	29	1	9	1	16	2	356
2267088	70	0	11	8	38	13	372
2386589	44	0	9	2	27	6	216
2471731	6	0	2	0	3	1	30
2858482	19	0	3	1	12	3	114
3022564	130	0	21	12	84	13	619
3024336	51	0	15	1	27	8	234
3208667	23	0	7	0	15	1	194
3403858	9	0	3	1	4	1	70
3570691	24	0	2	2	18	2	125
3626162	29	0	10	2	14	3	191
3626497	27	2	10	1	14	0	118
3691288	4	0	2	0	2	0	24
3820186	2	0	1	0	1	0	11
3861673	125	0	28	16	64	17	1005
3876097	8	0	2	0	5	1	71
3975434	15	0	5	0	9	1	80
4127196	8	0	2	1	4	1	26
4256705	10	0	2	0	6	2	39
4384343	31	0	10	1	19	1	173
4388148	58	0	11	6	37	4	266
4526737	17	0	8	0	8	1	104
4677524	21	0	5	3	11	2	103
4757025	57	0	14	6	34	3	390
4910140	14	0	6	2	6	0	95
5164194	6	0	4	0	2	0	20
5315169	28	0	7	4	16	1	121
5383192	1	0	0	0	1	0	2
5397134	31	0	14	3	12	2	145
5446180	5	0	2	1	1	1	20
5487934	1	0	1	0	0	0	7
5602370	1	0	0	0	1	0	6
5673552	17	0	5	1	11	0	74
5892185	25	0	7	2	12	4	93
5969069	11	0	4	0	6	1	65
6239108	21	0	6	3	10	2	99
6494181	11	0	3	0	8	0	60
6543683	10	0	1	0	7	2	85
6592178	3	0	0	1	1	1	21
6690388	13	0	2	4	7	0	95
6707735	44	0	6	0	31	7	241
6762958	1	0	0	1	0	0	22
7069080	2	0	0	0	2	0	17
7077910	12	0	3	0	6	3	68
7332364	1	0	0	0	1	0	3
7439802	4	0	0	1	3	0	37
7699096	17	0	8	3	6	0	100
7735100	4	0	1	0	3	0	21
7735282	8	0	3	1	4	0	40
7742525	1	0	0	0	1	0	8
7763613	14	0	2	1	10	1	72
7821351	1	0	0	0	0	1	5
7872818	14	0	4	0	10	0	69
8173487	2	0	1	0	0	1	16
8515408	4	0	1	0	3	0	11
8533375	4	0	0	0	4	0	18
8553556	10	0	3	2	5	0	48
8583457	4	0	0	0	4	0	38
8605841	1	0	1	0	0	0	10
8684315	6	0	1	0	4	1	62
8690491	10	0	5	0	5	0	65
9094836	2	0	0	1	0	1	10
9477539	1	0	0	0	1	0	12
9679741	1	0	1	0	0	0	8
